name,price,store,location,sold,details_link
ELORA - DAILYGLO Collagen Drink Blueberry - Paket Hemat 3 Box (36 Sachet) | Kulit Plumpy & Glowing | Bantu Redakan Jerawat | Tinggi Vitamin C | Glutathione | Daun Kelor | Minuman Kolagen Brightening & Anti Aging | Moringa,Rp379.000,Elora Beauty Store,Jakarta Barat,250+ terjual,https://www.tokopedia.com/elorabeauty/moringa-infused-collagen-drink-paket-hemat-3-box-36-sachet?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
Paket Bundling: Kelor Energizer |  Biskuit Sehat (Healthy Sorghum Raisin) + Teh Kelor (Moringa Drip Tea) |Brand : La Moringa,Rp130.767,La Moringa Indonesia,Jakarta Selatan,19 terjual,https://www.tokopedia.com/lamoringa/paket-bundling-kelor-energizer-biskuit-sehat-healthy-sorghum-raisin-teh-kelor-moringa-drip-tea-brand-la-moringa?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
Daun Kelor segar 150 gr Moringa leaves,Rp8.700,KAYLA handmade & organic,Tangerang,100+ terjual,https://www.tokopedia.com/kaylahandmade/daun-kelor-segar-150-gr-moringa-leaves?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
AEKYUNG SHOWERMATE BOTANIC TERRACE MORINGA BODY WASH 500ML,Rp99.900,World Food,Jakarta Utara,3 terjual,https://www.tokopedia.com/worldfood-1/aekyung-showermate-botanic-terrace-moringa-body-wash-500ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Oil 100% Murni |Minyak Biji Kelor Carrier Oil 30ml,Rp33.800,Morifa Official,Jakarta Barat,100+ terjual,https://www.tokopedia.com/morifa-official/moringa-oil-100-murni-minyak-biji-kelor-carrier-oil-30ml-10ml-7f29f?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Pro Moringa Kapsul Ekstrak Daun Kelor Ash-Shihhah Herbal Antioksidan,Rp21.000,Garasi_Herbal,Kab. Bekasi,14 terjual,https://www.tokopedia.com/garasi-herbal/pro-moringa-kapsul-ekstrak-daun-kelor-ash-shihhah-herbal-antioksidan?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
FRESHBYT Natural Toothpaste - Pasta Gigi Natural Fresh Mint & Lemon Moringa,Rp35.000,Tiga Lab Official,Jakarta Utara,100+ terjual,https://www.tokopedia.com/tigalab/freshbyt-natural-toothpaste-pasta-gigi-natural-fresh-mint-lemon-moringa-lemon-moringa-a7aa2?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
KELORINA - ROYAL MORINGA POWDER - Tepung Daun Kelor halus Mesh2,Rp85.000,Moringa Organik Indonesia Official,Kab. Blora,250+ terjual,https://www.tokopedia.com/kelorina/kelorina-royal-moringa-powder-tepung-daun-kelor-halus-mesh2-250-gram-e6b25?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
BIJI KELOR BERSAYAP MORINGA SEED WING ORGANIK KUALITAS EKSPOR,Rp8.000,MORINGA LIVING OFFICIAL STORE,Jakarta Barat,24 terjual,https://www.tokopedia.com/moringaliving/biji-kelor-bersayap-moringa-seed-wing-organik-kualitas-ekspor-50gram?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Tepung Daun Kelor kemasan 1 KG/Bubuk Daun Kelor 1 KG/Daun MORINGA 1 KG,Rp5.700,Ommah Tepung Organik,Kab. Bantul,30+ terjual,https://www.tokopedia.com/omahtepungorganik/tepung-daun-kelor-kemasan-1-kg-bubuk-daun-kelor-1-kg-daun-moringa-1-kg-50-gram-212a3?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Daun Kelor Moringa Bubuk Premium Pure Organic Cegah Kolesterol Alami Organik Dari Bumi Poty,Rp31.900,POTY Official,Malang,40+ terjual,https://www.tokopedia.com/potyofficial/daun-kelor-moringa-bubuk-premium-pure-organic-cegah-kolesterol-alami-organik-dari-bumi-poty?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Dari Bumi Paket Bundling Moricle  2 Pcs Twin Pack Moringa Latte 200 Gram,Rp66.000,daribumiofficial,Jakarta Barat,16 terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-paket-bundling-moricle-2-pcs-twin-pack-moringa-latte-200-gram-1730770879810537255?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
The Body Shop Moringa Body Lotion 200ml,Rp319.000,The Body Shop Indonesia,,250+ terjual,https://www.tokopedia.com/tbs-official/the-body-shop-moringa-body-lotion-200ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Moringa Pandanus Ginger Minuman Sehat Instan Kelor Jahe Pandan Premium,Rp75.000,Moringa Organik Indonesia Official,Kab. Blora,60+ terjual,https://www.tokopedia.com/kelorina/moringa-pandanus-ginger-minuman-sehat-instan-kelor-jahe-pandan-premium?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Seven Bika Herbs Pure Moringa Jahe Merah Organic 100 Gr,Rp54.800,SEVEN BIKA,Jakarta Barat,24 terjual,https://www.tokopedia.com/seven-bika/seven-bika-herbs-pure-moringa-jahe-merah-organic-100-gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
KUNARE Moringa Kaffir Natural Soap ( Sabun Kelor Jeruk Purut ),Rp35.000,KUNARE,Jakarta Barat,30+ terjual,https://www.tokopedia.com/kunare/kunare-moringa-kaffir-natural-soap-sabun-kelor-jeruk-purut?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
ONOAKE EKSTRAK - MORINGA OLEIFERA - 1 BOX @30 KAPSUL,Rp144.800,SUMBER MAKMUR PT,Semarang,50+ terjual,https://www.tokopedia.com/sumbermakmurpt/onoake-ekstrak-moringa-oleifera-1-box-30-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
The Body Shop Moringa Body Lotion 200ml,Rp319.000,The Body Shop Indonesia,Tangerang Selatan,250+ terjual,https://www.tokopedia.com/tbs-official/the-body-shop-moringa-body-lotion-200ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Flozindo Moringa Seeds / Biji Kelor Organik Kwalitas Export,Rp18.905,Flozindo,Kab. Banyumas,250+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-seeds-biji-kelor-organik-kwalitas-export-100gr-fd370?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Daun Kelor Moringa Bubuk Dari Bumi Serbuk Kelor Organik,Rp46.500,Kurma Alif_NEW,Jakarta Barat,4rb+ terjual,https://www.tokopedia.com/kurma-alif/daun-kelor-moringa-bubuk-dari-bumi-serbuk-kelor-organik-1730329100637013465?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
SERBUK DAUN KELOR MORINGA BUBUK ORIGINAL SAFIYA HERBAL,Rp26.000,IDRISSTORE_,Medan,16 terjual,https://www.tokopedia.com/idrisstore-1/serbuk-daun-kelor-moringa-bubuk-original-safiya-herbal-250-gram-c1ea0?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
MINYAK BIJI KELOR BPOM - MORINGA SEED OIL 30 ML BPOM - HALAL ORIGINAL,Rp55.000,Dening Alam Pure Oil,Tangerang Selatan,250+ terjual,https://www.tokopedia.com/deningalampureoil/minyak-biji-kelor-bpom-moringa-seed-oil-30-ml-bpom-halal-original?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Serbuk Kelor Murni Bubuk Kelor Original Moringa Powder Halus 100 gram,Rp9.000,MORINGA LIVING OFFICIAL STORE,Jakarta Barat,100+ terjual,https://www.tokopedia.com/moringaliving/serbuk-kelor-murni-bubuk-kelor-original-moringa-powder-halus-100-gram-40-gram-4db55?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
"Naturebell Moringa Oleifera 8,000mg - 240 Capsules-Non-GMO,Gluten Free",Rp650.000,heavenlyvitamin,Jakarta Barat,60+ terjual,https://www.tokopedia.com/heavenlyvitamin/naturebell-moringa-oleifera-8-000mg-240-capsules-non-gmo-gluten-free?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Benih Bibit Biji KELOR (Moringa Oleifera) Kualitas Kering di Pohon,Rp100,Anak Pohon,Kab. Sleman,10rb+ terjual,https://www.tokopedia.com/anakpohon/benih-bibit-biji-kelor-moringa-oleifera-kualitas-kering-di-pohon?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Daun Kelor by Keluarga Rimpang,Rp10.000,Keluarga Rimpang Official,Bekasi,250+ terjual,https://www.tokopedia.com/keluargarimpang/moringa-daun-kelor-by-keluarga-rimpang-refill-d1401?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
ETAWANESIA ETAWA BIRU Susu Kambing Etawa Platinum + Ekstrak Moringa Folium Daun Kelor 1 BOX 200gr Suplemen Kesehatan Tulang Sendi Pernafasan Paru-paru Bumil Busui Gerd Friendly BPOM HALAL,Rp80.000,SuperFit Store,Medan,11 terjual,https://www.tokopedia.com/superfitstore888/etawanesia-etawa-biru-susu-kambing-etawa-platinum-ekstrak-moringa-folium-daun-kelor-1-box-200gr-suplemen-kesehatan-tulang-sendi-pernafasan-paru-paru-bumil-busui-gerd-friendly-bpom-halal-1-box-870e7?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Ekstrak Daun Kelor Moringa - 500 mg - 60 Capsules,Rp84.000,HERBAHOLIC.ID,Jakarta Timur,100+ terjual,https://www.tokopedia.com/herbaholic/ekstrak-daun-kelor-moringa-500-mg-60-capsules?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Herbal Essences Shampoo Bio Renew Golden Moringa 400 ml - Paket isi 3,Rp310.000,P&G Official Store,Jakarta Timur,250+ terjual,https://www.tokopedia.com/pgofficialstore/herbal-essences-shampoo-bio-renew-golden-moringa-400-ml-paket-isi-3?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Evershine Moringa Advance Tonic Essence,Rp129.000,Evershine Official,Jakarta Barat,30+ terjual,https://www.tokopedia.com/evershine/evershine-moringa-advance-tonic-essence?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Bali Pure Bubuk Kelor - Moringa 100 gram Organik,Rp45.000,Bali Pure Official,Kab. Buleleng,11 terjual,https://www.tokopedia.com/balipure-official/bali-pure-bubuk-kelor-moringa-100-gram-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
[BUY 1 GET 1 ] Elora Beau Brightening Facial Wash - With Moringa Extract | Niacinamide,Rp180.000,Elora Beauty Store,Jakarta Barat,30+ terjual,https://www.tokopedia.com/elorabeauty/buy-1-get-1-elora-brightening-facial-wash-paket-kecantikan-pembersih-wajah-facewash-anti-jerawat-anti-kusam?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
KUNDAL Hair Serum Acacia Moringa (Made in Korea) 100ml,Rp119.000,Kundal Official,Kab. Bekasi,500+ terjual,https://www.tokopedia.com/kundalofficial/kundal-hair-serum-acacia-moringa-made-in-korea-100ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
The Body Shop Moringa Hair Mist 100ml,Rp179.000,SEV CITRA,Jakarta Barat,14 terjual,https://www.tokopedia.com/sevshop/the-body-shop-moringa-hair-mist-100ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
KUNDAL Hair Treatment Acacia Moringa (Made in Korea) 500ml,Rp119.000,Kundal Official,Kab. Bekasi,750+ terjual,https://www.tokopedia.com/kundalofficial/kundal-hair-treatment-acacia-moringa-made-in-korea-500ml?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Pro Moringa Kapsul Ekstrak Daun Kelor Ash-Shihhah Herbal Antioksidan,Rp18.000,Noe Online Shop,Kab. Sukoharjo,5rb+ terjual,https://www.tokopedia.com/noe-shop/pro-moringa-kapsul-ekstrak-daun-kelor-ash-shihhah-herbal-antioksidan?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Tanaman moringa / kelor afrika,Rp1.250.000,Nuansa Taman Baru16,Kab. Bogor,3 terjual,https://www.tokopedia.com/nuansatamanbaru16/tanaman-moringa-kelor-afrika?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Powder 250 gram Bubuk Daun Kelor Authentic Safiya Food,Rp24.990,Safiya Food Official,Jakarta Barat,500+ terjual,https://www.tokopedia.com/safiyafood/moringa-powder-250-gram-bubuk-daun-kelor-authentic-safiya-food?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
BUBUK DAUN KELOR 250G DAUN KELOR ORGANIK SERBUK PREMIUM SUPER HALUS BUBUK POWDER MORINGA 100% ORIGINAL PURE ORGANIC NUTRIFARM / BEORGANIK / DARI BUMI / SAFIYA / GALLEO,Rp31.500,Naturlife Indonesia Official,Bogor,30+ terjual,https://www.tokopedia.com/naturlifeindonesia/bubuk-daun-kelor-250g-daun-kelor-organik-serbuk-premium-super-halus-bubuk-powder-moringa-100-original-pure-organic-nutrifarm-beorganik-dari-bumi-safiya-galleo?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
pohon moringa afrika,Rp38.000.000,novel flora,Kab. Bogor,,https://www.tokopedia.com/novelflora/pohon-moringa-afrika?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
MORINGA POWDER/SERBUK DAUN KELOR 500GR,Rp35.000,Pesona Green,Depok,100+ terjual,https://www.tokopedia.com/pesonagreen/moringa-powderserbuk-daun-kelor-500gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Bibit Daun Kelor Pohon Kelor Tanaman Kelor Moringa Oleifera,Rp3.500,ORIGINAL FLORA,Bekasi,3rb+ terjual,https://www.tokopedia.com/originalflora/bibit-daun-kelor-pohon-kelor-tanaman-kelor-moringa-oleifera?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Oleifera | Tanaman Herbal Pohon Kelor Tinggal Petik,Rp25.000,Plantisme,Jakarta Timur,30+ terjual,https://www.tokopedia.com/plantismeid/moringa-oleifera-tanaman-herbal-pohon-kelor-tinggal-petik?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Pohon Kelor / Moringa - Bibit tanaman hidup,Rp85.000,iplant,Batu,23 terjual,https://www.tokopedia.com/iplant/pohon-kelor-moringa-bibit-tanaman-hidup?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Natur Shampo Shampoo Moringa 140ML - 270ML,Rp23.800,Mega Beauty Fashindo,Kab. Tangerang,100+ terjual,https://www.tokopedia.com/megabeautyf/natur-shampo-shampoo-moringa-140ml-270ml-shampoo-moringa-140ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
"Biji Kelor Kupas Premium, Kernel Biji Kelor, Moringa Seed Kernel",Rp11.000,MORINGA LIVING OFFICIAL STORE,,70+ terjual,https://www.tokopedia.com/moringaliving/biji-kelor-kupas-premium-kernel-biji-kelor-moringa-seed-kernel-50gram-c9cfd?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Bubuk Daun Kelor / Moringa Powder Timurasa - 225gr,Rp37.380,TIMURASA INDONESIA,,500+ terjual,https://www.tokopedia.com/timurasaindonesi/bubuk-daun-kelor-moringa-powder-timurasa-225gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
The Body Shop Moringa Shampoo 250ml,Rp199.000,The Body Shop Indonesia,Tangerang Selatan,500+ terjual,https://www.tokopedia.com/tbs-official/the-body-shop-moringa-shampoo-250ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
"WAKABA Superfood Moringa Leaf , Nutrisi Kesehetan Turunkan Gula darah - 150gr",Rp95.000,Organium,Jakarta Barat,20 terjual,https://www.tokopedia.com/organium/wakaba-superfood-moringa-leaf-nutrisi-kesehetan-turunkan-gula-darah-150gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Evershine Multipurpose Moringa Soothing Gel,Rp200.000,Evershine Official,Jakarta Barat,100+ terjual,https://www.tokopedia.com/evershine/evershine-multipurpose-moringa-soothing-gel?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Daun Kelor segar Moringa Moillifera Miracle leaves,Rp5.500,WHITE DOVE,Surabaya,90+ terjual,https://www.tokopedia.com/whitedoveonline/daun-kelor-segar-moringa-moillifera-miracle-leaves-tanpa-sortir-de73b?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Teh daun Kelor seduh curah herbal moringa Asli original,Rp14.500,propolis jakarta,Jakarta Timur,1rb+ terjual,https://www.tokopedia.com/herbalpropolis/teh-daun-kelor-seduh-curah-herbal-moringa-asli-original-celup-kelor?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 250Ml,Rp60.000,Guardian Official Store,Kab. Bekasi,70+ terjual,https://www.tokopedia.com/guardian-officia/earth-love-life-javanese-moringa-balinese-starfruit-body-wash-250ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Paket Bundling: Kelor Energizer |  Biskuit Sehat (Healthy Sorghum Raisin) + Teh Kelor (Moringa Drip Tea) |Brand : La Moringa,Rp130.767,La Moringa Indonesia,Jakarta Selatan,19 terjual,https://www.tokopedia.com/lamoringa/paket-bundling-kelor-energizer-biskuit-sehat-healthy-sorghum-raisin-teh-kelor-moringa-drip-tea-brand-la-moringa?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
[BONUS PARFUM SAAT LIVE] Moringa Dari Inspired Parfum Bandung,Rp83.000,INspired Parfum bandung,Bandung,70+ terjual,https://www.tokopedia.com/zahradila/bonus-parfum-saat-live-moringa-dari-inspired-parfum-bandung-55ml-super-premium-b026e?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Kapsul Ekstrak Daun Kelor Moringa Isi 500mg @500mg - Resmi BPOM,Rp34.000,Sumber & Waras,Surabaya,100+ terjual,https://www.tokopedia.com/sumberwarassehat/kapsul-ekstrak-daun-kelor-moringa-isi-500mg-500mg-resmi-bpom?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Moringa Oleifera 300 Capsules Naturama,Rp288.500,Naturama Herb,Jakarta Selatan,27 terjual,https://www.tokopedia.com/naturamaherb/moringa-oleifera-300-capsules-naturama?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
DAUN KELOR BUBUK 50 GRAM 140 GRAM PREMIUM ORIGINAL ASLI MORINGA LEAVES POWDER ORGANIK MURNI BUMBU MASAKAN,Rp11.000,Nutrifarm Official,Kab. Tangerang,250+ terjual,https://www.tokopedia.com/nutrimartofficial/daun-kelor-bubuk-50-gram-140-gram-premium-original-asli-moringa-leaves-powder-organik-murni-bumbu-masakan-50-gram-7f4c1?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Evershine Moringa Gentle Body Wash - Sabun Mandi Anti Jerawat Badan,Rp200.000,Evershine Official,Jakarta Barat,50+ terjual,https://www.tokopedia.com/evershine/evershine-moringa-gentle-body-wash-sabun-mandi-anti-jerawat-badan?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Momsy Asi Booster Pelancar Asi MOMSY BPOM HALAL Natural Almond Moringa/Kelor Ikan Gabus Fenugreek,Rp65.000,OJ Home,Tangerang,2 terjual,https://www.tokopedia.com/chocoberry7/momsy-asi-booster-pelancar-asi-momsy-bpom-halal-natural-almond-moringa-kelor-ikan-gabus-fenugreek-momsy-isi-30-b2d58?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Pro Moringa - Kapsul Ekstrak Daun Kelor Original,Rp22.000,Alfa Goes,Medan,100+ terjual,https://www.tokopedia.com/alfagoes/pro-moringa-kapsul-ekstrak-daun-kelor-original?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
De Moringa Kapsul Sari Daun Kelor,Rp35.000,Berkah Abadi020,Kab. Sumedang,23 terjual,https://www.tokopedia.com/berkahabadi020/de-moringa-kapsul-sari-daun-kelor?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
MOSEHAT Obat Herbal Moringa Daun Kelor Habbatussauda Propolis Original,Rp225.000,Agen Mosehat,Jakarta Timur,3rb+ terjual,https://www.tokopedia.com/agen-mosehat/mosehat-obat-herbal-moringa-daun-kelor-habbatussauda-propolis-original?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Serbuk Daun Kelor 100 gr Bubuk Moringa Original 100 %,Rp8.800,TheHalalFoods,Kab. Tangerang,250+ terjual,https://www.tokopedia.com/thehalal/serbuk-daun-kelor-100-gr-bubuk-moringa-original-100?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Dari Bumi Paket Bundling Daun Kelor Bubuk Moringa 150 Gram Dan Madu Multiflora 350 Gram Raw Honey,Rp64.900,daribumiofficial,Jakarta Barat,100+ terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-paket-bundling-daun-kelor-bubuk-moringa-150-gram-dan-madu-multiflora-350-gram-raw-honey?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
Mom Uung Breastmilk Booster ASI dg Ekstrak Moringa dan Channa MomUung,Rp120.000,Rufda,Depok,750+ terjual,https://www.tokopedia.com/rufda/mom-uung-breastmilk-booster-asi-dg-ekstrak-moringa-dan-channa-momuung-isi-60pcs?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
MORINGA TEA / TEH DAUN KELOR / SUPERFOOD MORINGA LEAVES ASI BOOSTER,Rp7.000,Seduh Pertama,Kab. Bekasi,80+ terjual,https://www.tokopedia.com/tavishamahadana/moringa-tea-teh-daun-kelor-superfood-moringa-leaves-asi-booster-10-gram?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308184813570092C3363B1408C41C%26src%3Dsearch
